date,indeks,price (EUR/t_CO2),volume (t)
0.072002315,t3pa,62.04,1805000
0.197002315,t3pa,63.56,2515500
0.238668981,t3pa,63.66,2515500
0.280335648,t3pa,61.36,2066500
0.322002315,t3pa,58.99,2515500
0.363668981,t3pa,59.92,1805000
0.488668981,t3pa,59.33,2515500
0.530335648,t3pa,58.86,2515500
0.572002315,t3pa,59.63,2066500
0.613668981,t3pa,59.43,2515500
0.655335648,t3pa,61.01,1805000
0.780335648,t3pa,58.85,2515500
0.822002315,t3pa,57.58,2515500
0.863668981,t3pa,56,2066500
0.905335648,t3pa,57.1,2515500
0.947002315,t3pa,59.5,1805000
25.10.2021,t3pa,58.94,2515500
26.10.2021,t3pa,58.96,2515500
27.10.2021,t3pa,58.92,2066500
28.10.2021,t3pa,58.93,2515500
29.10.2021,t3pa,59.4,1805000
0.072696759,t3pa,59.98,2515500
0.114363426,t3pa,57.8,2515500
0.156030093,t3pa,59.78,2066500
0.197696759,t3pa,59.81,2515500
0.239363426,t3pa,61.05,1805000
0.364363426,t3pa,60.06,2515500
0.406030093,t3pa,60.11,2515500
0.447696759,t3pa,60.25,2066500
0.489363426,t3pa,62.31,2515500
0.531030093,t3pa,63.53,1805000
0.656030093,t3pa,64.4,2515500
0.697696759,t3pa,67.5,2515500
0.739363426,t3pa,67.14,2066500
0.781030093,t3pa,66.51,2515500
0.822696759,t3pa,69.21,1805000
0.947696759,t3pa,69.7,2515500
0.989363426,t3pa,69.88,2515500
24.11.2021,t3pa,69.51,2066500
25.11.2021,t3pa,72.15,2515500
26.11.2021,t3pa,71.95,1805000
29.11.2021,t3pa,74.48,2515500
30.11.2021,t3pa,74.82,2515500
0.073391204,t3pa,76.38,2066500
0.11505787,t3pa,77.1,2515500
0.156724537,t3pa,78.76,1805000
0.281724537,t3pa,80,2515500
0.323391204,t3pa,82.87,2515500
0.36505787,t3pa,87.45,2066500
0.406724537,t3pa,84.93,2515500
0.448391204,t3pa,79.83,1805000
0.573391204,t3pa,85,2515500
0.61505787,t3pa,79.99,2515500
0.656724537,t3pa,79.29,2074000
0.698391204,t3pa,80.5,2515500
0.74005787,t3pa,82.25,1807500
0.86505787,t3pa,74.57,2542500
0.440763889,t3pa,82.71,2449000
0.482430556,t3pa,81.9,2449000
0.565763889,t3pa,79.05,2449000
0.607430556,t3pa,81.52,1944000
0.732430556,t3pa,80.21,2449000
0.774097222,t3pa,79.22,2449000
0.815763889,t3pa,80.7,2658000
0.857430556,t3pa,80.8,2449000
0.899097222,t3pa,84.03,1944000
24.01.2022,t3pa,85.75,2449000
25.01.2022,t3pa,84.48,2449000
27.01.2022,t3pa,88.51,2449000
28.01.2022,t3pa,89.25,1944000
31.01.2022,t3pa,88.03,2449000
0.108125,t3pa,91.61,2658000
0.149791667,t3pa,92.65,3062000
0.191458333,t3pa,94.65,1944000
0.316458333,t3pa,93.5,3062000
0.358125,t3pa,97.51,3062000
0.441458333,t3pa,90.6,3059000
0.483125,t3pa,89.98,1944000
0.608125,t3pa,90.73,2449000
0.649791667,t3pa,90.35,2449000
0.691458333,t3pa,88.05,2658000
0.733125,t3pa,87.5,2449000
0.774791667,t3pa,87.65,1944000
0.899791667,t3pa,87.99,2449000
0.941458333,t3pa,88.4,2449000
0.983125,t3pa,92.8,1108500
24.02.2022,t3pa,88,2449000
25.02.2022,t3pa,86.9,1944000
28.02.2022,t3pa,80.92,2449000
0.067152778,t3pa,79.96,2449000
0.150486111,t3pa,63.87,2449000
0.192152778,t3pa,67.22,1944000
0.317152778,t3pa,57.91,2449000
0.358819444,t3pa,62.01,2449000
0.442152778,t3pa,70.04,2449000
0.483819444,t3pa,76.5,1944000
0.608819444,t3pa,78.6,2449000
0.650486111,t3pa,75.55,2449000
0.692152778,t3pa,75.25,3322500
0.733819444,t3pa,76.87,2449000
0.775486111,t3pa,79.21,1944000
0.900486111,t3pa,77.76,2506500
0.942152778,t3pa,79.05,2506500
24.03.2022,t3pa,76.15,2507500
25.03.2022,t3pa,78.5,1944000
28.03.2022,t3pa,80.76,2506500
29.03.2022,t3pa,80.51,2506500
30.03.2022,t3pa,77.22,3322500
31.03.2022,t3pa,79.25,2506500
0.067847222,t3pa,78,1944000
0.192847222,t3pa,77.5,2506500
0.234513889,t3pa,78.33,2506500
0.317847222,t3pa,77.13,2506500
0.359513889,t3pa,80.21,1944000
